id,tanggal,report_no,forklift_id,pekerjaan,teknisi,description,recommendation,items_used,location,deleted_at,created_at,updated_at
75,2025-11-10,28442,343,PM,"Riki, Rahul",Preventative MaintenanceGanti Lock Fork,<ul><li>Main Lift Cylinder Seal 1 set</li><li>Side shift cylinder seal 1 set</li><li>LED front lamp (RH) 1pc</li><li>Panel meter repair 1 job</li></ul>,<ul><li>Engine Oil 8L</li><li>Hydraulic Oil 3L</li><li>Oil Filter 1 pc</li><li>Fuel filter 1 pc</li><li>Lock Fork Pin 1 set</li></ul>,WORKSHOP,,2025-11-10 16:28:37,2025-11-10 16:28:37
76,2025-11-10,28441,344,PM,"Riki, Rahul",<ul><li>Preventative Maintenance</li></ul>,<ul><li>Seal Transmisi Belakang 1 pc</li><li>Solar Kotor (Berair)</li></ul>,<ul><li>ATF Oil 1 L</li><li>Fuel Filter 1 pc</li><li>Oil Filter 1 pc</li><li>Engine Oil 8 L</li></ul>,Giken Horizon Tj Uncang,,2025-11-10 16:30:52,2025-11-10 16:30:52
77,2025-11-10,28440,325,PM,"Riki, Rahul",<ul><li>Preventative Maintenance</li><li>Adkust Handbrake/Panelbrake</li></ul>,<ul><li>Set Lampu Belakang RH 1 set</li><li>Set Lampu Depan LH&nbsp; 1 pc</li><li>Hydraulic pump seal kit 1 set</li><li>Tangki solar kotor/berair</li><li>Ban Belakang Retak 2 pcs</li></ul>,<ul><li>Engine Oil 8 L</li><li>Oil Filter 1 pc</li><li>Fuel Filter 1 pc</li><li>Adjust Parking Brake 1 job</li></ul>,PT GIKEN TANJUNG UNCANG,,2025-11-10 16:33:54,2025-11-10 16:33:54
78,2025-11-10,28473,591,PM,"Liping, Toyib, Epan",Preventative Maintenance,<ul><li>Seal Kit motor swing 1 set</li><li>Seal kit main 2 set</li><li>Potensio steering 1 pcs</li><li>Lampu rotary</li></ul>,,PT. EPSON LOT 510,,2025-11-11 15:53:40,2025-11-11 15:53:40
79,2025-11-10,28474,514,PM,"Liping, Toyib, Epan",Preventative Maintenance,,,EPSON LOT 510,,2025-11-11 15:54:54,2025-11-11 15:54:54
80,2025-11-10,28475,413,PM,"Liping, Toyib, Epan",Preventative Maintenance,,,EPSON LOT 510,,2025-11-11 15:56:04,2025-11-11 15:56:04
81,2025-11-10,28476,591,PM,"Liping, Toyib, Epan",Preventative Maintenance,<ul><li>Seal kit motor swing 1 set</li><li>Guide Wheel 2 pcs</li></ul>,,PT. EPSON LOT 510,,2025-11-11 15:57:10,2025-11-11 15:57:10
82,2025-11-10,28477,608,PM,"Liping, Toyib, Epan",Preventative Maintenance,,<ul><li>Socket Battery 1 pc</li></ul>,EPSON LOT 510,,2025-11-11 15:58:09,2025-11-11 15:58:09
83,2025-11-10,28478,608,PM,"Toyib, Liping, Epan",Preventative Maintenance,,,EPSON LOT 510,,2025-11-11 15:59:10,2025-11-11 15:59:10
84,2025-11-10,28479,607,PM,"Liping, Toyib, Epan",Preventative Maintenance,<ul><li>Battery 1 unit</li></ul>,,EPSON LOT 509,,2025-11-11 16:00:23,2025-11-11 16:00:23
85,2025-11-11,28480,423,PM,"Toyib, Liping, Epan",Preventative Maintenance,,,EPSON LOT 509,,2025-11-11 16:01:55,2025-11-11 16:01:55
86,2025-11-11,28481,422,PM,"Toyib, Epan",Preventative Maintenance,<ul><li>Jalan dirack tak lurus 1 job</li></ul>,,EPSON LOT 509,,2025-11-11 16:03:05,2025-11-11 16:03:05
87,2025-11-11,28482,424,PM,"Toyib, Epan",Preventative Maintenance,<ul><li>Switch Klakson 1 set</li></ul>,,EPSON LOT 509,,2025-11-11 16:04:03,2025-11-11 16:04:03
88,2025-11-11,28417,585,Lapangan,"Asep, Epan",<ul><li>Ganti Load Wheel</li></ul>,Castor Wheel 1 pcDrive Wheel 1 pc,Load Wheel 4 pcs,PT SCANJET,,2025-11-11 16:13:00,2025-11-11 16:13:00
89,2025-11-11,28416,585,Lapangan,"Epan, Asep",<ul><li>Install Red Light</li></ul>,,<ul><li>Red Light Bracket 2 pcs</li><li>Spion + bracket 1 pc</li><li>Relay + fuse box 2 set</li><li>Cable</li><li>Back buzzer 12-24v 1 pc</li></ul>,PT SCANJET,,2025-11-11 16:15:12,2025-11-11 16:15:12
90,2025-11-11,28415,555,Lapangan,"Asep, Epan",<ul><li>Install Red Light</li></ul>,<ul><li>Red Light + Bracket 2 pcs</li><li>Spion + Bracket 1 pc</li><li>Relay + Fuse Box 2 set</li><li>Cable 6 meter</li><li>Back Buzzer 12-24v 1 pc</li></ul>,,SCANJET,,2025-11-11 16:17:00,2025-11-11 16:17:00
